1,15,-
2,34,-
3,57,-
4,92,-
5,135,-
6,372,-
7,560,-
8,840,-
9,1242,-
10,1716,-
11,2360,-
12,3216,-
13,4200,-
14,5460,-
15,7050,-
16,8840,-
17,11040,-
18,13716,-
19,16680,-
20,20216,-
21,24402,-
22,28980,-
23,34320,-
24,40512,-
25,47216,-
26,54900,-
27,63666,-
28,73080,-
29,83720,-
30,95700,-
31,108480,75936
32,122760,85932
33,138666,97066.2
34,155540,108878
35,174216,121951.2
36,194832,136382.4
37,216600,151620
38,240500,168350
39,266682,186677.4
40,294216,205951.2
41,324240,226968
42,356916,249841.2
43,391160,273812
44,428280,299796
45,468450,327915
46,510420,357294
47,555680,388976
48,604416,423091.2
49,655200,458640
50,709716,496801.2
51,748608,524025.6
52,789631,552741.7
53,832902,583031.4
54,878545,614981.5
55,926689,648682.3
56,977471,684229.7
57,1031036,721725.2
58,1087536,761275.2
59,1147132,802992.4
60,1209994,846995.8
61,1276301,893410.7
62,1346242,942369.4
63,1420016,994011.2
64,1497832,1048482.4
65,1579913,1105939.1
66,1666492,1166544.4
67,1757815,1230470.5
68,1854143,1297900.1
69,1955750,1369025
70,2062925,1444047.5
71,2175973,1523181.1
72,2295216,1606651.2
73,2410993,1687695.1
74,2553663,1787564.1
75,2693603,1885522.1
76,2841212,1988848.4
77,2996910,2097837
78,3161140,2212798
79,3334370,2334059
80,3517093,2461965.1
81,3709829,2596880.3
82,3913127,2739188.9
83,4127566,2889296.2
84,4353756,3047629.2
85,4592341,3214638.7
86,4844001,3390800.7
87,5109452,3576616.4
88,5389449,3772614.3
89,5684790,3979353
90,5996316,4197421.2
91,6324914,4427439.8
92,6671519,4670063.3
93,7037118,4925982.6
94,7422752,5195926.4
95,7829518,5480662.6
96,8258575,5781002.5
97,8711144,6097800.8
98,9188514,6431959.8
99,9692044,6784430.8
100,10223168,7667376
101,10783397,8087547.75
102,11374327,8530745.25
103,11997640,8998230
104,12655110,9491332.5
105,13348610,10011457.5
106,14080113,10560084.75
107,14851703,11138777.25
108,15665576,11749182
109,16524049,12393036.75
110,17429566,13072174.5
111,18384706,13788529.5
112,19392187,14544140.25
113,20454878,15341158.5
114,21575805,16181853.75
115,22758159,17068619.25
116,24005306,18003979.5
117,25320796,18990597
118,26708375,20031281.25
119,28171993,21128994.75
120,29715818,23772654.4
121,31344244,25075395.2
122,33061908,26449526.4
123,34873700,27898960
124,36784778,29427822.4
125,38800583,31040466.4
126,40926854,32741483.2
127,43169645,34535716
128,45535341,36428272.8
129,48030677,38424541.6
130,50662758,40530206.4
131,53439077,42751261.6
132,56367538,45094030.4
133,59456479,47565183.2
134,62714694,50171755.2
135,66151459,52921167.2
136,69776558,55821246.4
137,73600313,58880250.4
138,77633610,62106888
139,81887931,65510344.8
140,86375389,69100311.2
141,91108760,72887008
142,96101520,76881216
143,101367883,81094306.4
144,106922842,85538273.6
145,112782213,90225770.4
146,118962678,95170142.4
147,125481832,100385465.6
148,132358236,105886588.8
149,139611467,111689173.6
150,147262175,125172848.8
151,155332142,132032320.7
152,163844343,139267691.6
153,172823012,146899560.2
154,182293713,154949656.1
155,192283408,163440896.8
156,202820538,172397457.3
157,213935103,181844837.6
158,225658746,191809934.1
159,238024845,202321118.3
160,251068606,213408315.1
161,264827165,225103090.3
162,279339693,237438739.1
163,294647508,250450381.8
164,310794191,264175062.4
165,327825712,278651855.2
166,345790561,293921976.9
167,364739883,310028900.6
168,384727628,327018483.8
169,405810702,344939096.7
170,428049128,363841758.8
171,451506220,383780287
172,476248760,404811446
173,502347192,426995113.2
174,529875818,450394445.3
175,558913012,475076060.2
176,589541445,501110228.3
177,621848316,528571068.6
178,655925603,557536762.6
179,691870326,588089777.1
180,729784819,656806337.1
181,769777027,692799324.3
182,811960808,730764727.2
183,856456260,770810634
184,903390063,813051056.7
185,952895838,857606254.2
186,1005114529,904603076.1
187,1060194805,954175324.5
188,1118293480,1006464132
189,1179575962,1061618366
190,1244216724,1119795052
191,1312399800,1181159820
192,1384319309,1245887378
193,1460180007,1314162006
194,1540197871,1386178084
195,1624600714,1462140643
196,1713628833,1542265950
197,1807535693,1626782124
198,1906588648,1715929783
199,2011069705,1809962735
200,212127632,190914868.8
